DB;Wałbrzych (former Wałbrzych town);Lower Silesia;http://en.wikipedia.org/wiki/Wa%C5%82brzych
DBA;Wałbrzych (former Wałbrzych district);Lower Silesia;http://en.wikipedia.org/wiki/Wa%C5%82brzych
DBL;Bolesławiec;Lower Silesia;http://en.wikipedia.org/wiki/Boles%C5%82awiec
DDZ;Dzierżoniów;Lower Silesia;http://en.wikipedia.org/wiki/Dzier%C5%BConi%C3%B3w
DGL;Głogów;Lower Silesia;http://en.wikipedia.org/wiki/G%C5%82og%C3%B3w
DGR;Góra;Lower Silesia;http://en.wikipedia.org/wiki/G%C3%B3ra
DJ;Jelenia Góra (town);Lower Silesia;http://en.wikipedia.org/wiki/Jelenia_G%C3%B3ra
DJA;Jawor;Lower Silesia;http://en.wikipedia.org/wiki/Jawor
DJE;Jelenia Góra (district);Lower Silesia;http://en.wikipedia.org/wiki/Jelenia_G%C3%B3ra
DKA;Kamienna Góra;Lower Silesia;http://en.wikipedia.org/wiki/Kamienna_G%C3%B3ra
DKL;Kłodzko;Lower Silesia;http://en.wikipedia.org/wiki/K%C5%82odzko
DL;Legnica (town);Lower Silesia;http://en.wikipedia.org/wiki/Legnica
DLB;Lubań;Lower Silesia;http://en.wikipedia.org/wiki/Luba%C5%84
DLE;Legnica (district);Lower Silesia;http://en.wikipedia.org/wiki/Legnica
DLU;Lubin;Lower Silesia;http://en.wikipedia.org/wiki/Lubin
DLW;Lwówek Śląski;Lower Silesia;http://en.wikipedia.org/wiki/Lw%C3%B3wek_%C5%9Al%C4%85ski
DMI;Milicz;Lower Silesia;http://en.wikipedia.org/wiki/Milicz
DOA;Oława;Lower Silesia;http://en.wikipedia.org/wiki/O%C5%82awa
DOL;Oleśnica;Lower Silesia;http://en.wikipedia.org/wiki/Ole%C5%9Bnica
DPL;Polkowice;Lower Silesia;http://en.wikipedia.org/wiki/Polkowice
DSR;Środa Śląska;Lower Silesia;http://en.wikipedia.org/wiki/%C5%9Aroda_%C5%9Al%C4%85ska
DST;Strzelin;Lower Silesia;http://en.wikipedia.org/wiki/Strzelin
DSW;Świdnica;Lower Silesia;http://en.wikipedia.org/wiki/%C5%9Awidnica
DTR;Trzebnica;Lower Silesia;http://en.wikipedia.org/wiki/Trzebnica
DW;Wrocław (town);Lower Silesia;http://en.wikipedia.org/wiki/Wroc%C5%82aw
DWL;Wołów;Lower Silesia;http://en.wikipedia.org/wiki/Wo%C5%82%C3%B3w
DWR;Wrocław (district);Lower Silesia;http://en.wikipedia.org/wiki/Wroc%C5%82aw
DZA;Ząbkowice Śląskie;Lower Silesia;http://en.wikipedia.org/wiki/Z%C4%85bkowice_%C5%9Al%C4%85skie
DZG;Zgorzelec;Lower Silesia;http://en.wikipedia.org/wiki/Zgorzelec
DZL;Złotoryja;Lower Silesia;http://en.wikipedia.org/wiki/Z%C5%82otoryja
CAL;Aleksandrów Kujawski;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Aleksandr%C3%B3w_Kujawski
CB;Bydgoszcz (town);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Bydgoszcz
CBR;Brodnica;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Brodnica
CBY;Bydgoszcz (district);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Bydgoszcz
CCH;Chełmno;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Che%C5%82mno
CG;Grudziądz (town);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Grudzi%C4%85dz
CGD;Golub-Dobrzyń;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Golub-Dobrzy%C5%84
CGR;Grudziądz (district);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Grudzi%C4%85dz
CIN;Inowrocław;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Inowroc%C5%82aw
CLI;Lipno;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Lipno
CMG;Mogilno;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Mogilno
CNA;Nakło n. Notecią;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Nak%C5%82o
CRA;Radziejów;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Radziej%C3%B3w
CRY;Rypin;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Rypin
CSE;Sepólno Krajenskie;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Sep%C3%B3lno_Krajenskie
CSW;Świecie;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/%C5%9Awiecie
CT;Toruń (town);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Toru%C5%84
CTR;Toruń (district);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Toru%C5%84
CTU;Tuchola;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/Tuchola
CW;Włocławek (town);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/W%C5%82oc%C5%82awek
CWA;Wąbrzeźno;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/W%C4%85brze%C5%BAno
CWL;Włocławek (district);Kuyavia-Pomerania;http://en.wikipedia.org/wiki/W%C5%82oc%C5%82awek
CZN;Żnin;Kuyavia-Pomerania;http://en.wikipedia.org/wiki/%C5%BBnin
EBE;Bełchatów;Łódź;http://en.wikipedia.org/wiki/Be%C5%82chat%C3%B3w
EBR;Brzeziny;Łódź;http://en.wikipedia.org/wiki/Brzeziny
EKU;Kutno;Łódź;http://en.wikipedia.org/wiki/Kutno
EL;Łódź (town);Łódź;http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA
ELA;Łask;Łódź;http://en.wikipedia.org/wiki/%C5%81ask
ELC;Łowicz;Łódź;http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA
ELE;Łęczyca;Łódź;http://en.wikipedia.org/wiki/%C5%81%C4%99czyca
ELW;Łódź Wschód;Łódź;http://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_East_County
EOP;Opoczno;Łódź;http://en.wikipedia.org/wiki/Opoczno
EP;Piotrków Trybunalski (town);Łódź;http://en.wikipedia.org/wiki/Piotrk%C3%B3w_Trybunalski
EPA;Pabianice;Łódź;http://en.wikipedia.org/wiki/Pabianice
EPD;Poddębice;Łódź;http://en.wikipedia.org/wiki/Podd%C4%99bice
EPI;Piotrków Trybunalski (district);Łódź;http://en.wikipedia.org/wiki/Piotrk%C3%B3w_Trybunalski
EPJ;Pajęczno;Łódź;http://en.wikipedia.org/wiki/Paj%C4%99czno
ERA;Radomsko;Łódź;http://en.wikipedia.org/wiki/Radomsko
ERW;Rawa Mazowiecka;Łódź;http://en.wikipedia.org/wiki/Rawa_Mazowiecka
ES;Skierniewice (town);Łódź;http://en.wikipedia.org/wiki/Skierniewice
ESI;Sieradz;Łódź;http://en.wikipedia.org/wiki/Sieradz
