BA;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BD;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BE;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BI;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BL;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BT;Bratislava;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
BB;Banská Bystrica;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
BC;Banská Bystrica;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
BK;Banská Bystrica;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
BJ;Bardejov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
BN;Bánovce nad Bebravou;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
BR;Brezno;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
BS;Banská Štiavnica;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
BY;Bytča;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
CA;Čadca;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
DK;Dolný Kubín;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
DS;Dunajská Streda;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
DT;Detva;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
GA;Galanta;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
GL;Gelnica;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
HC;Hlohovec;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
HE;Humenné;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
IL;Ilava;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
KA;Krupina;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
KE;Košice;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
KC;Košice;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
KI;Košice;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
KK;Kežmarok;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
KM;Kysucké Nové Mesto;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
KN;Komárno;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
KS;Košice-okolie;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
LC;Lučenec;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
LE;Levoča;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
LM;Liptovský Mikuláš;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
LV;Levice;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
MA;Malacky;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
MI;Michalovce;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
ML;Medzilaborce;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
MT;Martin;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
MY;Myjava;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
NR;Nitra;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
NI;Nitra;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
NT;Nitra;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
NM;Nové Mesto nad Váhom;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
NO;Námestovo;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
NZ;Nové Zámky;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
PB;Považská Bystrica;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
PD;Prievidza;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
PE;Partizánske;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
PK;Pezinok;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
PN;Piešťany;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
PO;Prešov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
PV;Prešov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
PS;Prešov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
PP;Poprad;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
PT;Poltár;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
PU;Púchov;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
RA;Revúca;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
RK;Ružomberok;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
RS;Rimavská Sobota;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
RV;Rožňava;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
SA;Šaľa;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
SB;Sabinov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
SC;Senec;Bratislava Region;http://en.wikipedia.org/wiki/Bratislava_Region
SE;Senica;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
SI;Skalica;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
SK;Svidník;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
SL;Stará Ľubovňa;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
SN;Spišská Nová Ves;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
SO;Sobrance;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
SP;Stropkov;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
SV;Snina;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
TT;Trnava;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
TA;Trnava;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
TB;Trnava;Trnava Region;http://en.wikipedia.org/wiki/Trnava_Region
TN;Trenčín;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
TC;Trenčín;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
TE;Trenčín;Trenčín Region;http://en.wikipedia.org/wiki/Tren%C4%8D%C3%ADn_Region
TO;Topoľčany;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
TR;Turčianske Teplice;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
TS;Tvrdošín;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
TV;Trebišov;Košice Region;http://en.wikipedia.org/wiki/Ko%C5%A1ice_Region
VK;Veľký Krtíš;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
VT;Vranov nad Topľou;Prešov Region;http://en.wikipedia.org/wiki/Pre%C5%A1ov_Region
ZA;Žilina;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
ZI;Žilina;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
ZL;Žilina;Žilina Region;http://en.wikipedia.org/wiki/%C5%BDilina_Region
ZC;Žarnovica;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
ZH;Žiar nad Hronom;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
ZM;Zlaté Moravce;Nitra Region;http://en.wikipedia.org/wiki/Nitra_Region
ZV;Zvolen;Banská Bystrica Region ;http://en.wikipedia.org/wiki/Bansk%C3%A1_Bystrica_Region
